epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,506.731,2.15138,1.95174,1.11468,0.00928,0.17669,0.07422,0.01459,2.76806,3.41924,1.63975,0.00040905,0.00040905,0.00040905
61,515.748,2.08771,1.97826,1.13124,0.00928,0.17669,0.07422,0.01459,2.76806,3.41924,1.63975,0.000406081,0.000406081,0.000406081
62,525.719,2.18509,2.05565,1.1459,0.00928,0.17669,0.07422,0.01459,2.76806,3.41924,1.63975,0.000402782,0.000402782,0.000402782
63,538.032,2.09027,1.85675,1.09027,0.01036,0.19455,0.08976,0.0164,2.78094,3.39925,1.62655,0.000399153,0.000399153,0.000399153
64,550.371,2.08802,1.85568,1.06627,0.01036,0.19455,0.08976,0.0164,2.78094,3.39925,1.62655,0.000395194,0.000395194,0.000395194
65,561.846,1.94406,1.7876,1.10666,0.01036,0.19455,0.08976,0.0164,2.78094,3.39925,1.62655,0.000390905,0.000390905,0.000390905
66,571.529,2.04832,1.91973,1.09791,0.01269,0.23872,0.09518,0.02331,2.79476,3.35956,1.59024,0.000386286,0.000386286,0.000386286
67,581.178,2.03315,1.85116,1.09187,0.01269,0.23872,0.09518,0.02331,2.79476,3.35956,1.59024,0.000381336,0.000381336,0.000381336
68,589.084,1.95473,1.7578,1.11341,0.01269,0.23872,0.09518,0.02331,2.79476,3.35956,1.59024,0.000376057,0.000376057,0.000376057
69,605.112,2.17549,1.94244,1.10978,0.01034,0.19455,0.09658,0.02445,2.85635,3.31251,1.56216,0.000370447,0.000370447,0.000370447
70,617.934,2.16091,1.80207,1.07696,0.01034,0.19455,0.09658,0.02445,2.85635,3.31251,1.56216,0.000364508,0.000364508,0.000364508
71,632.696,2.28732,1.85837,1.06845,0.01034,0.19455,0.09658,0.02445,2.85635,3.31251,1.56216,0.000358238,0.000358238,0.000358238
72,640.051,2.06313,1.79657,1.07153,0.01039,0.19455,0.1138,0.03313,2.86954,3.25881,1.56185,0.000351639,0.000351639,0.000351639
73,647.941,2.16242,1.71388,1.06572,0.01039,0.19455,0.1138,0.03313,2.86954,3.25881,1.56185,0.000344709,0.000344709,0.000344709
74,655.396,2.15366,1.80976,1.10552,0.01039,0.19455,0.1138,0.03313,2.86954,3.25881,1.56185,0.000337449,0.000337449,0.000337449
75,666.19,2.17216,1.80093,1.0801,0.01178,0.22086,0.10327,0.03507,2.89675,3.17521,1.55517,0.000329859,0.000329859,0.000329859
76,674.655,2.00742,1.70971,1.02729,0.01178,0.22086,0.10327,0.03507,2.89675,3.17521,1.55517,0.000321939,0.000321939,0.000321939
77,684.899,2.08855,1.74563,1.08024,0.01178,0.22086,0.10327,0.03507,2.89675,3.17521,1.55517,0.000313689,0.000313689,0.000313689
78,694.752,2.21521,1.87699,1.09956,0.20042,0.20301,0.10353,0.03678,2.91249,3.11686,1.56286,0.000305109,0.000305109,0.000305109
79,703.755,1.96645,1.72544,1.05468,0.20042,0.20301,0.10353,0.03678,2.91249,3.11686,1.56286,0.000296199,0.000296199,0.000296199
80,714.233,1.97113,1.72564,1.07934,0.20042,0.20301,0.10353,0.03678,2.91249,3.11686,1.56286,0.000286959,0.000286959,0.000286959
81,725.165,2.20992,1.83408,1.10248,0.53925,0.12795,0.13156,0.03923,2.92365,3.04231,1.57875,0.000277389,0.000277389,0.000277389
82,733.25,1.8514,1.60808,1.11809,0.53925,0.12795,0.13156,0.03923,2.92365,3.04231,1.57875,0.000267488,0.000267488,0.000267488
83,740.764,1.94561,1.58742,1.03907,0.53925,0.12795,0.13156,0.03923,2.92365,3.04231,1.57875,0.000257258,0.000257258,0.000257258
84,748.967,2.13214,1.67797,1.01143,0.90181,0.07337,0.13822,0.03789,2.92347,2.9556,1.58028,0.000246698,0.000246698,0.000246698
85,755.528,2.0001,1.7897,1.06365,0.90181,0.07337,0.13822,0.03789,2.92347,2.9556,1.58028,0.000235807,0.000235807,0.000235807
86,762.678,2.07873,1.74071,1.05793,0.90181,0.07337,0.13822,0.03789,2.92347,2.9556,1.58028,0.000224587,0.000224587,0.000224587
87,769.877,2.21515,1.8585,1.12772,0.90181,0.07337,0.13822,0.03789,2.92347,2.9556,1.58028,0.000213036,0.000213036,0.000213036
88,778.966,2.10654,1.67417,1.04078,0.90548,0.0773,0.15882,0.04785,2.94584,2.86472,1.59313,0.000201155,0.000201155,0.000201155
89,787.139,2.07423,1.66341,1.05624,0.90548,0.0773,0.15882,0.04785,2.94584,2.86472,1.59313,0.000188944,0.000188944,0.000188944
90,794.5,1.97966,1.71554,1.07452,0.90548,0.0773,0.15882,0.04785,2.94584,2.86472,1.59313,0.000176404,0.000176404,0.000176404
91,804.831,2.02226,1.90079,1.07701,0.90548,0.0773,0.15882,0.04785,2.94584,2.86472,1.59313,0.000163533,0.000163533,0.000163533
92,816.093,2.03492,1.71922,1.06623,0.85543,0.088,0.16887,0.05064,2.95105,2.79216,1.6051,0.000150332,0.000150332,0.000150332
93,828.671,2.04362,1.62079,1.10909,0.85543,0.088,0.16887,0.05064,2.95105,2.79216,1.6051,0.000136801,0.000136801,0.000136801
94,839.203,1.95774,1.66899,1.03035,0.85543,0.088,0.16887,0.05064,2.95105,2.79216,1.6051,0.00012294,0.00012294,0.00012294
95,853.218,1.99792,1.67086,1.06284,0.85543,0.088,0.16887,0.05064,2.95105,2.79216,1.6051,0.000108748,0.000108748,0.000108748
96,864.162,1.95551,1.68049,1.05765,0.75965,0.09774,0.16601,0.04814,2.9415,2.74137,1.60183,9.42272e-05,9.42272e-05,9.42272e-05
97,873.163,1.93617,1.67434,0.98109,0.75965,0.09774,0.16601,0.04814,2.9415,2.74137,1.60183,7.93759e-05,7.93759e-05,7.93759e-05
98,882.347,2.07419,1.72149,1.08293,0.75965,0.09774,0.16601,0.04814,2.9415,2.74137,1.60183,6.41945e-05,6.41945e-05,6.41945e-05
99,890.998,1.92754,1.58033,1.07331,0.75965,0.09774,0.16601,0.04814,2.9415,2.74137,1.60183,4.86831e-05,4.86831e-05,4.86831e-05
100,899.182,2.01535,1.79374,1.05884,0.49542,0.1156,0.16845,0.04141,2.95994,2.67608,1.60997,3.28416e-05,3.28416e-05,3.28416e-05
